Entry Date,ID,Exit Date,Pages Viewed,Conversion
2015-01-01 12:03:01,6122207195878292480,2015-01-01 12:05:02,9,No
2015-01-01 12:14:15,8190808533466072064,n/a,9,No
2015-01-01 12:23:37,3668555354046249984,2015-01-01 12:25:26,6,No
2015-01-01 12:29:11,1109091556037644288,2015-01-01 12:29:19,1,No
2015-01-01 12:37:23,1510670789765302272,2015-01-01 12:39:17,3,No
2015-01-01 12:51:32,1887227656987520000,n/a,8,No
2015-01-01 13:02:53,1664498606390955008,2015-01-01 13:03:00,1,No
2015-01-01 13:08:14,2706834106363586560,2015-01-01 13:09:53,9,No
2015-01-01 13:12:32,4062344613126596608,2015-01-01 13:13:18,1,No
2015-01-01 13:16:41,2682256738033182720,2015-01-01 13:18:35,1,No
2015-01-01 13:23:08,8207491875649305600,2015-01-01 13:24:41,7,No
2015-01-01 13:23:45,8247557535872800768,2015-01-01 13:31:07,6,No
2015-01-01 13:34:05,6993076732151756800,2015-01-01 13:34:35,1,No
2015-01-01 13:35:03,967352710169650176,2015-01-01 13:37:18,9,No
2015-01-01 13:41:15,1476899641815386112,2015-01-01 13:41:44,1,No
2015-01-01 13:55:02,4751957022979266560,2015-01-01 13:55:05,1,No
2015-01-01 13:55:46,2228971717717380096,2015-01-01 13:57:53,9,No
2015-01-01 13:58:28,2133961029375827968,2015-01-01 13:59:58,1,No
2015-01-01 14:00:18,6383093406415372288,2015-01-01 14:00:20,1,No
2015-01-01 14:03:51,9011454911355086848,2015-01-01 14:07:24,7,No
2015-01-01 14:16:02,7212281621854416896,2015-01-01 14:16:14,1,No
2015-01-01 14:19:20,4564009397932715008,2015-01-01 14:20:50,7,No
2015-01-01 14:25:15,3919065571469312,2015-01-01 14:25:18,1,No
2015-01-01 14:25:44,1950022273527376896,2015-01-01 14:27:42,3,No
2015-01-01 14:38:59,7758629071791823872,2015-01-01 14:42:17,7,No
2015-01-01 14:46:57,4170043457867625472,2015-01-01 14:46:57,1,No
2015-01-01 14:48:52,2489189670666870784,2015-01-01 14:50:01,3,No
2015-01-01 14:48:51,6440906816888907776,2015-01-01 14:50:12,3,No
2015-01-01 14:50:42,4974235355938881536,2015-01-01 14:54:43,5,No
2015-01-01 14:59:22,7431337074472299520,2015-01-01 15:02:05,10,No
2015-01-01 14:59:40,8464456887368744960,2015-01-01 15:02:17,1,No
2015-01-01 15:03:38,5861172228913080320,2015-01-01 15:03:51,1,No
2015-01-01 15:05:18,1918318513014935552,2015-01-01 15:05:21,1,No
2015-01-01 15:11:05,7769989192739437568,2015-01-01 15:12:14,3,No
2015-01-01 15:11:34,7339725092617696256,2015-01-01 15:15:20,7,No
2015-01-01 15:16:28,8162419289877597184,n/a,1,No
2015-01-01 15:19:06,1202715529183309824,2015-01-01 15:33:01,4,Yes
2015-01-01 15:19:38,7471432272764008448,2015-01-01 15:22:07,6,No
2015-01-01 15:27:53,1949850506737652736,2015-01-01 15:33:29,7,No
2015-01-01 15:29:30,1327948859024662528,2015-01-01 15:29:36,1,No
2015-01-01 15:38:02,1475228730270294016,2015-01-01 15:41:30,7,No
2015-01-01 15:45:13,6009080402921001984,2015-01-01 15:45:17,1,No
2015-01-01 16:03:00,6240360934152813568,2015-01-01 16:03:06,1,No
2015-01-01 16:15:49,1298149108254039040,2015-01-01 16:17:14,1,No
2015-01-01 16:16:47,6199022155750401024,2015-01-01 16:18:56,6,No
2015-01-01 16:19:28,8364337804899097600,2015-01-01 16:23:13,8,No
2015-01-01 16:20:47,5800088186692398080,2015-01-01 16:20:59,1,No
2015-01-01 16:21:10,1438061021205537792,2015-01-01 16:23:03,9,No
2015-01-01 16:24:42,3706910860423506944,2015-01-01 16:24:43,1,No
2015-01-01 16:24:23,2091042349298032640,2015-01-01 16:24:24,1,No
2015-01-01 16:27:39,4674458121231089664,2015-01-01 16:28:13,1,No
2015-01-01 16:31:04,5280807512022350848,2015-01-01 16:31:06,1,No
2015-01-01 16:40:50,1850729359341080576,2015-01-01 16:41:21,1,No
2015-01-01 16:42:16,5862502675702475776,2015-01-01 16:42:26,1,No
2015-01-01 16:43:33,1525169706281601024,2015-01-01 16:45:43,1,No
2015-01-01 16:49:22,2790865730693516288,2015-01-01 16:49:23,1,No
2015-01-01 16:51:00,1304144883840149504,2015-01-01 16:52:24,10,No
2015-01-01 17:29:00,4554724664603649024,2015-01-01 17:30:51,1,No
2015-01-01 17:35:45,6233196831972832256,2015-01-01 17:35:48,1,No
2015-01-01 17:38:59,963000364080786432,2015-01-01 17:39:01,1,No
2015-01-01 17:40:22,2678500436187639808,2015-01-01 17:40:29,1,No
2015-01-01 17:41:57,3431725537316400128,2015-01-01 17:42:08,1,No
2015-01-01 17:44:00,4697353613932053504,2015-01-01 17:44:04,1,No
2015-01-01 17:51:13,2214318690469935104,2015-01-01 17:51:29,1,No
2015-01-01 18:02:05,8146189571121423360,2015-01-01 18:03:07,3,No
2015-01-01 18:08:22,3681045168243027968,2015-01-01 18:08:24,1,No
2015-01-01 18:08:37,2534042083298632704,2015-01-01 18:10:19,7,No
2015-01-01 18:12:42,4428113653077860352,2015-01-01 18:12:59,1,No
2015-01-01 18:14:58,2691763257528887296,2015-01-01 18:16:39,10,No
2015-01-01 18:28:35,4755553817276953600,2015-01-01 18:36:16,9,No
2015-01-01 18:32:19,3511618878656472064,2015-01-01 18:32:19,1,No
2015-01-01 18:34:13,2636721243347768320,2015-01-01 18:34:24,1,No
2015-01-01 18:35:54,6727935380959836160,2015-01-01 18:35:55,1,No
2015-01-01 18:41:42,6440930929018893312,2015-01-01 18:44:52,10,No
2015-01-01 18:44:19,464794098931881984,2015-01-01 19:14:42,8,Yes
2015-01-01 18:47:49,662844830881968128,2015-01-01 18:47:51,1,No
2015-01-01 18:54:15,5718771708259402752,2015-01-01 18:55:44,5,No
2015-01-01 19:03:54,2340108739296548864,2015-01-01 19:05:56,6,No
2015-01-01 19:06:34,4289178564835697664,2015-01-01 19:06:43,1,No
2015-01-01 19:08:29,4893225487282161664,n/a,1,No
2015-01-01 19:09:23,7907412738428051456,2015-01-01 19:09:28,1,No
2015-01-01 19:08:30,6985988815944133632,2015-01-01 19:08:36,1,No
2015-01-01 19:09:09,5884649828724445184,2015-01-01 19:09:16,1,No
2015-01-01 19:09:55,7181489273868318720,2015-01-01 19:13:15,10,No
2015-01-01 19:11:28,8388825520866506752,n/a,1,No
2015-01-01 19:15:52,4476531926155430912,2015-01-01 19:20:47,10,No
2015-01-01 19:17:49,3481869510078366720,2015-01-01 19:18:25,1,No
2015-01-01 19:22:34,8381999430812996608,2015-01-01 19:24:49,9,No
2015-01-01 19:27:10,9146538133775874048,2015-01-01 19:27:19,1,No
2015-01-01 19:27:41,8390438452959712256,2015-01-01 19:30:09,2,No
2015-01-01 19:29:10,1991769253856129024,2015-01-01 19:30:32,8,No
2015-01-01 19:39:49,9013385770525716480,2015-01-01 19:45:08,4,No
2015-01-01 19:43:55,3710676373151554560,2015-01-01 19:47:25,4,No
2015-01-01 19:57:45,1165812162887915520,2015-01-01 19:58:06,1,No
2015-01-01 20:10:30,2696271811070878720,2015-01-01 20:12:10,5,No
2015-01-01 20:14:54,4277135199818156032,n/a,9,No
2015-01-01 20:15:59,1846758756685290496,2015-01-01 20:16:03,1,No
2015-01-01 20:16:46,930889177986963456,2015-01-01 20:16:51,1,No
2015-01-01 20:24:22,1222164682877556736,2015-01-01 20:29:03,6,No
2015-01-01 20:41:59,3753303107172030464,2015-01-01 20:43:55,3,No
2015-01-01 20:48:33,6174158472111137792,2015-01-01 20:48:53,1,No
2015-01-01 20:54:12,6682471205611006976,n/a,1,No
2015-01-01 20:54:52,627824820794898432,2015-01-01 20:59:25,4,No
2015-01-01 20:55:58,7896809579873449984,2015-01-01 20:59:28,8,No
2015-01-01 20:56:30,2815296289917872128,2015-01-01 20:58:29,2,No
2015-01-01 21:02:44,1021626705305598976,2015-01-01 21:02:51,1,No
2015-01-01 21:02:59,4357550165296198656,2015-01-01 21:03:09,1,No
2015-01-01 21:05:58,4245025470254808064,2015-01-01 21:07:24,5,No
2015-01-01 21:07:31,5808449388349949952,2015-01-01 21:09:27,10,No
2015-01-01 21:10:53,5261913018616812544,2015-01-01 21:14:06,2,No
2015-01-01 21:12:17,1636574953169912832,n/a,1,No
2015-01-01 21:16:09,7597950458257921024,2015-01-01 21:16:13,1,No
2015-01-01 21:19:14,5688664504930290688,2015-01-01 21:20:46,5,No
2015-01-01 21:22:00,8008972538206478336,n/a,1,No
2015-01-01 21:22:44,2548027391792186368,2015-01-01 21:24:26,4,No
